Guinea,GIN,SUB-SAHARAN AFRICA,0.172,0.17,0.1639999999999999,0.209,0.196,0.203,0.03272042284884,0.271,0.2631
Guinea-Bissau,GNB,SUB-SAHARAN AFRICA,0.331,0.312,0.276,0.2689999999999999,0.249,0.273,0.3228277525199999,0.261,0.2551
Guyana,GUY,SOUTH AMERICA,0.322,0.293,0.301,0.289,0.3,0.3279999999999999,0.2369683432806,0.251,0.2471
Haiti,HTI,CARIBBEAN,0.368,0.357,0.305,0.262,0.2269999999999999,0.211,0.2654557752,0.24100000000000002,0.2391
Honduras,HND,CENTRAL AMERICA,0.245,0.196,0.172,0.211,0.172,0.208,0.1563278633487575,0.231,0.2311
"Hong Kong, China",HKG,Asia (Ex. Near East),0.153,0.155,0.15,0.151,0.154,0.161,0.12832000601937876,0.17300000000000001,0.1681
Hungary,HUN,EASTERN EUROPE,0.153,0.163,0.251,0.2339999999999999,0.176,0.18,0.10031214869,0.115,0.1051
Iceland,ISL,WESTERN EUROPE,0.089,0.089,0.088,0.094,0.1,0.122,0.155792377264,0.15,0.1371
India,IND,ASIA (EX. NEAR EAST),0.2289999999999999,0.22,0.206,0.176,0.17,0.182,0.0919184737068749,0.074,0.0731
Indonesia,IDN,ASIA (EX. NEAR EAST),0.142,0.1369999999999999,0.111,0.1119999999999999,0.107,0.109,0.1006551384,0.096,0.0951
"Iran, Islamic Rep.",IRN,Asia (Ex. Near East),0.1,0.081,0.062,0.0579999999999999,0.053,0.052,0.07001260852499999,0.0555,0.0541
Iraq,IRQ,NEAR EAST,0.079,0.079,0.143,0.12,0.095,0.085,0.03937007865,0.015,0.0131
Ireland,IRL,WESTERN EUROPE,0.241,0.2339999999999999,0.214,0.206,0.1969999999999999,0.19,0.2125050499999999,0.426,0.3301
Israel,ISR,NEAR EAST,0.142,0.143,0.139,0.126,0.119,0.118,0.136237197265,0.16,0.1591
Italy,ITA,WESTERN EUROPE,0.255,0.238,0.216,0.2019999999999999,0.193,0.168,0.20091867975,0.579,0.4611
Jamaica,JAM,CARIBBEAN,0.416,0.28,0.205,0.233,0.223,0.264,0.2504134781945999,0.325,0.3301
Japan,JPN,ASIA (EX. NEAR EAST),0.291,0.259,0.226,0.217,0.186,0.212,0.210753358,0.247,0.2461
Jordan,JOR,NEAR EAST,0.228,0.245,0.245,0.238,0.239,0.246,0.16079187,0.09,0.1001
Kazakhstan,KAZ,CIS (FORMER USSR),0.098,0.091,0.098,0.06,0.05,0.044,0.03931691090432,0.045,0.0451
Kenya,KEN,SUB-SAHARAN AFRICA,0.231,0.216,0.176,0.2019999999999999,0.215,0.217,0.160649488634,0.156,0.1721
Kiribati,KIR,OCEANIA,0.562,0.522,0.462,0.424,0.3939999999999999,0.413,0.284846,0.12425,0.13635
"Korea, Rep.",KOR,Asia (Ex. Near East),0.1,0.1009999999999999,0.09,0.087,0.085,0.114,0.20089733333333332,0.0925,0.1006
Kosovo,XKX,Eastern Europe,0.15,0.163,0.135,0.128,0.121,0.095,0.11694866666666665,0.06075,0.06484999999999999
Kuwait,KWT,NEAR EAST,0.0069999999999999,0.0069999999999999,0.008,0.0069999999999999,0.008,0.0069999999999999,0.033,0.029,0.0291
Kyrgyz Republic,KGZ,Asia (Ex. Near East),0.031,0.042,0.038,0.034,0.0289999999999999,0.036,0.07339106749999999,0.12499999999999999,0.11776666666666666
Lao PDR,LAO,Asia (Ex. Near East),0.105,0.11,0.113,0.11,0.129,0.132,0.11378213499999999,0.22099999999999997,0.2064333333333333
Latvia,LVA,BALTICS,0.201,0.1639999999999999,0.152,0.074,0.099,0.114,0.1541732025,0.317,0.2951
Lebanon,LBN,NEAR EAST,0.132,0.133,0.132,0.133,0.132,0.13,0.057963446088,0.001,0.0021
Lesotho,LSO,SUB-SAHARAN AFRICA,0.157,0.158,0.13,0.109,0.139,0.139,0.0809432144240499,0.092,0.0921
Liberia,LBR,SUB-SAHARAN AFRICA,0.514,0.556,0.556,0.556,0.39,0.39,0.2992,0.051,0.048100000000000004
Libya,LBY,NORTHERN AFRICA,0.149,0.182,0.175,0.144,0.1159999999999999,0.126,0.0065005416,0.01,0.0041
Liechtenstein,LIE,WESTERN EUROPE,0.1765,0.1525,0.141,0.1175,0.093,0.095,0.227643858,0.29,0.2731
Lithuania,LTU,BALTICS,0.204,0.123,0.107,0.091,0.083,0.095,0.1732941499999999,0.502,0.3601
Luxembourg,LUX,WESTERN EUROPE,0.155,0.143,0.127,0.113,0.106,0.121,0.1514352,0.24,0.2391
Madagascar,MDG,SUB-SAHARAN AFRICA,0.158,0.15,0.131,0.142,0.157,0.113,0.1374635,0.13,0.1361
Malawi,MWI,SUB-SAHARAN AFRICA,0.142,0.121,0.171,0.133,0.115,0.172,0.09239263314,0.109,0.1091
Malaysia,MYS,ASIA (EX. NEAR EAST),0.168,0.154,0.143,0.129,0.1159999999999999,0.12,0.0696001169999999,0.048,0.0491
Maldives,MDV,ASIA (EX. NEAR EAST),0.418,0.3329999999999999,0.273,0.434,0.449,0.3939999999999999,0.161854675,0.15,0.1431
Mali,MLI,SUB-SAHARAN AFRICA,0.158,0.163,0.153,0.139,0.136,0.142,0.374750629932,0.218,0.2121
Malta,MLT,WESTERN EUROPE,0.266,0.268,0.176,0.179,0.17,0.19,0.1810687249999999,0.146,0.1421
Marshall Islands,MHL,OCEANIA,0.497,0.406,0.406,0.4039999999999999,0.391,0.406,0.346,0.14133333333333334,0.13843333333333332
Mauritania,MRT,NORTHERN AFRICA,0.212,0.209,0.213,0.195,0.177,0.176,0.127904,0.13666666666666666,0.13476666666666667
Mauritius,MUS,SUB-SAHARAN AFRICA,0.266,0.2289999999999999,0.216,0.203,0.196,0.205,0.10749515622,0.132,0.1311
Mexico,MEX,CENTRAL AMERICA,0.165,0.1369999999999999,0.068,0.071,0.115,0.165,0.05230568388,0.104,0.0971
"Micronesia, Fed. Sts.",FSM,Oceania,0.56,0.44,0.351,0.3879999999999999,0.3779999999999999,0.414,0.06880656694000001,0.1255,0.1061
Moldova,MDA,EASTERN EUROPE,0.111,0.103,0.105,0.09,0.088,0.085,0.08530745,0.147,0.1151
Mongolia,MNG,ASIA (EX. NEAR EAST),0.069,0.076,0.069,0.063,0.059,0.0559999999999999,0.0407906422,0.137,0.11443333333333333
Montenegro,MNE,EASTERN EUROPE,0.099,0.096,0.133,0.125,0.133,0.141,0.1162806,0.127,0.11376666666666667
Morocco,MAR,NORTHERN AFRICA,0.1159999999999999,0.13,0.128,0.128,0.123,0.124,0.13073076958152,0.117,0.1131
Mozambique,MOZ,SUB-SAHARAN AFRICA,0.071,0.07,0.085,0.089,0.104,0.096,0.1038080979,0.127,0.1271
Myanmar,MMR,ASIA (EX. NEAR EAST),0.125,0.13,0.1,0.093,0.083,0.081,0.050256207,0.118,0.1311
Namibia,NAM,SUB-SAHARAN AFRICA,0.185,0.181,0.173,0.153,0.135,0.151,0.1001660516505,0.109,0.1351
Nepal,NPL,ASIA (EX. NEAR EAST),0.129,0.114,0.104,0.133,0.114,0.12,0.079165685,0.044,0.0441
Netherlands,NLD,Western Europe,0.12,0.1169999999999999,0.1159999999999999,0.108,0.106,0.144,0.1161510475,0.491,0.3411
New Zealand,NZL,OCEANIA,0.138,0.143,0.132,0.122,0.115,0.12,0.15313641,0.191,0.1881
Nicaragua,NIC,CENTRAL AMERICA,0.361,0.359,0.332,0.332,0.337,0.3339999999999999,0.2129322727511887,0.174,0.1731
Niger,NER,SUB-SAHARAN AFRICA,0.255,0.252,0.236,0.221,0.193,0.213,0.11717223252,0.102,0.1111
Nigeria,NGA,SUB-SAHARAN AFRICA,0.158,0.259,0.201,0.168,0.136,0.119,0.13905315842385,0.03,0.0491
North Macedonia,MKD,Eastern Europe,0.184,0.182,0.17,0.134,0.128,0.155,0.11600423857154035,0.117,0.1011
Norway,NOR,WESTERN EUROPE,0.0969999999999999,0.129,0.113,0.1009999999999999,0.1,0.1009999999999999,0.0929553187192307,0.129,0.1331
Oman,OMN,NEAR EAST,0.053,0.053,0.059,0.053,0.051,0.06,0.05195474,0.026,0.0261
Pakistan,PAK,ASIA (EX. NEAR EAST),0.208,0.193,0.19,0.188,0.187,0.217,0.081473086674,0.046,0.0371
Palau,PLW,OCEANIA,0.412,0.265,0.257,0.261,0.311,0.321,0.27,0.113,0.1066
Panama,PAN,CENTRAL AMERICA,0.247,0.242,0.249,0.212,0.188,0.254,0.14942810036,0.18,0.1761
Papua New Guinea,PNG,OCEANIA,0.4429999999999999,0.401,0.357,0.315,0.303,0.289,0.1973937614479999,0.118,0.11560000000000001
Paraguay,PRY,SOUTH AMERICA,0.067,0.065,0.062,0.071,0.065,0.066,0.05354902305,0.056,0.0551
Peru,PER,SOUTH AMERICA,0.142,0.145,0.132,0.122,0.171,0.195,0.07988128827,0.242,0.2251
Philippines,PHL,ASIA (EX. NEAR EAST),0.2,0.1939999999999999,0.176,0.177,0.1639999999999999,0.181,0.16537356216,0.176,0.1841
Poland,POL,EASTERN EUROPE,0.143,0.152,0.151,0.141,0.132,0.1369999999999999,0.0696804708,0.194,0.1781
Portugal,PRT,WESTERN EUROPE,0.2769999999999999,0.296,0.183,0.174,0.252,0.222,0.2008172722499999,0.295,0.2661
Puerto Rico,PRI,CARIBBEAN,0.292,0.24,0.245,0.245,0.245,0.243,0.04944,0.16399999999999998,0.1491
Qatar,QAT,NEAR EAST,0.033,0.035,0.048,0.0409999999999999,0.04,0.037,0.035704474,0.033,0.0321
Romania,ROU,EASTERN EUROPE,0.091,0.087,0.085,0.08,0.059,0.092,0.134339705656,0.176,0.1721
Russian Federation,RUS,CIS (FORMER USSR),0.12,0.1119999999999999,0.098,0.078,0.0819999999999999,0.084,0.049982,0.1995,0.2041
Rwanda,RWA,SUB-SAHARAN AFRICA,0.195,0.188,0.179,0.1639999999999999,0.139,0.1369999999999999,0.20564,0.223,0.2361
Samoa,WSM,OCEANIA,0.412,0.413,0.371,0.367,0.391,0.385,0.2921098,0.17925000000000002,0.1891
San Marino,SMR,WESTERN EUROPE,0.163,0.1639999999999999,0.1369999999999999,0.1369999999999999,0.138,0.155,0.1460267999999999,0.1355,0.1421
São Tomé and Principe,STP,Sub-Saharan Africa,0.351,0.357,0.318,0.179,0.17,0.183,0.10340117159999995,0.09175000000000003,0.09509999999999999
Saudi Arabia,SAU,NEAR EAST,0.062,0.063,0.09,0.085,0.076,0.074,0.0607755432,0.048,0.0481
Senegal,SEN,SUB-SAHARAN AFRICA,0.231,0.226,0.213,0.177,0.173,0.182,0.17928019956,0.172,0.1671
Serbia,SRB,EASTERN EUROPE,0.163,0.156,0.068,0.066,0.073,0.107,0.061407889632,0.105,0.0921
Seychelles,SYC,SUB-SAHARAN AFRICA,0.359,0.371,0.285,0.31,0.311,0.321,0.2348839695,0.093,0.08710000000000001
Sierra Leone,SLE,SUB-SAHARAN AFRICA,0.303,0.3229999999999999,0.259,0.241,0.204,0.18,0.165440656,0.081,0.0821
Singapore,SGP,ASIA (EX. NEAR EAST),0.168,0.113,0.081,0.1,0.102,0.055,0.1953388586699999,0.238,0.2221
Slovak Republic,SVK,Eastern Europe,0.161,0.155,0.143,0.129,0.1159999999999999,0.156,0.1840348168349999,0.26649999999999996,0.24509999999999998
Slovenia,SVN,EASTERN EUROPE,0.133,0.139,0.147,0.138,0.146,0.266,0.1727307749999999,0.295,0.2681
Solomon Islands,SLB,OCEANIA,0.987,0.999,0.96,0.679,0.674,0.716,0.69192,0.247,0.2291
Somalia,SOM,SUB-SAHARAN AFRICA,0.5429999999999999,0.546,0.5569999999999999,0.41500000000000004,0.41100000000000003,0.4385,0.412,0.199,0.1901
South Africa,ZAF,SUB-SAHARAN AFRICA,0.099,0.093,0.154,0.151,0.148,0.161,0.076212245492,0.151,0.1511
South Sudan,SSD,Sub-Saharan Africa,0.22,0.172,0.1565,0.17099999999999999,0.198,0.21050000000000002,0.1377760922749375,0.261,0.2586
Spain,ESP,WESTERN EUROPE,0.231,0.251,0.159,0.191,0.248,0.26,0.199339939057875,0.371,0.3661
Sri Lanka,LKA,ASIA (EX. NEAR EAST),0.242,0.203,0.201,0.201,0.1689999999999999,0.173,0.064123137,0.05,0.0411
St. Kitts and Nevis,KNA,Caribbean,0.401,0.304,0.297,0.3,0.297,0.306,0.0517167819375,0.0395,0.0331
