Country Name,Continental region,consumption_price_2014,consumption_price_2015,consumption_price_2016,consumption_price_2017,consumption_price_2018,consumption_price_2019,consumption_price_2022,consumption_price_2023
Malaysia,ASIA (EX. NEAR EAST),1796.6620000000003,1696.5538333333334,1716.2859999999998,1575.0900000000001,1477.7046666666654,1587.0926399999998,658.6631171068801,701.3810095783737
Singapore,ASIA (EX. NEAR EAST),649.6406000000001,447.4216166666667,328.20525000000004,413.64750000000004,428.91765000000004,237.09675000000001,1088.5485333333331,998.9827925307753
Thailand,ASIA (EX. NEAR EAST),2405.2290000000003,2422.2375833333317,2312.0,1946.3744895,1974.504,2205.425988583331,2080.4995795309824,1996.7474453386715
Vietnam,ASIA (EX. NEAR EAST),1286.2700000000002,1388.9356666666654,1544.646333333332,1746.53,1975.1852499999998,2156.7592592592705,1604.6545097956669,1646.3225867799156
Australia,OCEANIA,4129.718,4052.7498333333333,3722.8091666666664,3323.0059726666664,4534.40304625,4062.141092,4831.015799888962,4395.557324085509
New Zealand,OCEANIA,462.714,485.5684166666667,442.55199999999996,405.9887838333334,383.02225833333335,403.18862999999993,622.0104288409208,614.2441296206382
Algeria,NORTHERN AFRICA,104.62275,114.71625,132.75,124.22366666666666,108.10616666666665,110.76800000000001,222.0907717542865,235.3959114007496
Nigeria,SUB-SAHARAN AFRICA,324.2291666666667,540.1445,428.6995,366.33941400000003,303.71574400000003,271.75277324999996,67.32116176,113.06625962218413
South Africa,SUB-SAHARAN AFRICA,1712.403,1596.38375,2815.479333333333,2747.2059166666663,2722.571,2725.173745,2549.62477386777,2449.519704746312
Kuwait,NEAR EAST,30.18803038999957,31.69319911333288,37.125000003333334,34.665749999999505,39.2724,35.0437499999995,162.84225,168.66943348570143
Saudi Arabia,NEAR EAST,1442.6418333333334,1582.00875,2296.7625,2341.6322041666667,1979.6668733333333,1859.9467161666664,1283.4217087732,1355.3402375580383
United Arab Emirates,NEAR EAST,859.4365166666668,1062.234224999999,1124.8928666666666,1173.474325,1066.90375,1089.4613583333335,886.1546053043468,969.199275211059
