Continental Region,Country Name,Year,Consumption Price,GDP,Poverty Index,Weather Anomaly
Asia,Uzbekistan,2016,3441535500.0,86138288633.0,3.99536089538878,0.67
Asia,Uzbekistan,2017,3763099600.000001,62081322741.0,6.06156478929976,0.72
Asia,Uzbekistan,2018,3346527364.8,52870108218.0,6.329715367710656,0.65
Asia,Uzbekistan,2019,3091026016.0,60283503705.0,5.127482355912942,0.66
Asia,Uzbekistan,2022,1648283707.9610715,80391853885.0,2.0503118516447327,0.57
Asia,Vietnam,2014,15435240000.000002,233451000000.0,6.6117686366732205,0.55
Asia,Vietnam,2015,16667227999.999985,239258000000.0,6.9662155497412765,0.56
Asia,Vietnam,2016,18535755999.999985,257096000000.0,7.209663316426543,0.67
Asia,Vietnam,2017,20958360000.0,281354000000.0,7.449106819167313,0.72
Asia,Vietnam,2018,23702223000.0,310106000000.0,7.643264883620439,0.65
Asia,Vietnam,2019,25881111111.111248,334365000000.0,7.740376866930225,0.66
Asia,Vietnam,2022,19255854117.548,408802000000.0,4.710313089844962,0.57
Europe,Belgium,2014,16113532500.0,535390000000.0,3.0096812603896224,1.10
Europe,Belgium,2015,15946867200.0,462336000000.0,3.449194352159468,1.75
Europe,Belgium,2016,14125222799.999992,476063000000.0,2.9670910782816544,1.55
Europe,Belgium,2017,13985431699.999992,502765000000.0,2.781703519536959,1.40
Europe,Belgium,2018,13341741200.0,543299000000.0,2.455690365710226,1.54
Europe,Belgium,2019,13947505999.999992,535866000000.0,2.6027973411263248,1.68
Europe,Belgium,2022,40939753200.0,578604000000.0,7.075608395379224,1.29
Europe,Denmark,2014,4657247532.0,352994000000.0,1.319356003784767,1.10
Europe,Denmark,2015,4646912149.999999,302673000000.0,1.5352912714381524,1.75
Europe,Denmark,2016,7255820924.999999,313116000000.0,2.317294844402713,1.55
Europe,Denmark,2017,6972885264.0,332121000000.0,2.0995014660319584,1.40
Europe,Denmark,2018,6539304366.0,356841000000.0,1.832554097202956,1.54
Europe,Denmark,2019,7892130862.0,346499000000.0,2.2776778178292,1.68
Europe,Denmark,2022,19399305255.0,395404000000.0,4.906198534916187,1.29
Europe,France,2014,61561625507.99999,2855960000000.0,2.155549290186137,1.10
Europe,France,2015,63353030883.99999,2439190000000.0,2.59729790971593,1.75
Europe,France,2016,65440669779.99999,2472960000000.0,2.6462486162331778,1.55
Europe,France,2017,60860676736.00001,2595150000000.0,2.34516990293432,1.40
Europe,France,2018,57959025410.0,2790960000000.0,2.0766698702238657,1.54
Europe,France,2019,59915714736.00001,2728870000000.0,2.1956236367434143,1.68
Europe,France,2022,92799240838.0,2782910000000.0,3.334611641698797,1.29
Europe,Germany,2014,153249192000.0,3889090000000.0,3.940489728959731,1.10
Europe,Germany,2015,150579750000.0,3357590000000.0,4.484756923865034,1.75
Europe,Germany,2016,141126566000.00003,3469850000000.0,4.067223828119372,1.55
Europe,Germany,2017,179585483999.99994,3690850000000.0,4.865694460625599,1.40
Europe,Germany,2018,168022498000.0,3974440000000.0,4.227576664888638,1.54
Europe,Germany,2019,129931008000.0,3888230000000.0,3.341649233713026,1.68
Europe,Germany,2022,272557367000.00003,4072190000000.0,6.693139735621374,1.29
Europe,Italy,2014,74226675000.0,2162010000000.0,3.433225331982738,1.10
Europe,Italy,2015,70728840000.0,1836640000000.0,3.85099093997735,1.75
Europe,Italy,2016,63829944000.0,1877070000000.0,3.400509517492688,1.55
Europe,Italy,2017,60979864029.99997,1961800000000.0,3.108362933530429,1.40
Europe,Italy,2018,58564493210.0,2091930000000.0,2.7995436372153946,1.54
Europe,Italy,2019,50702998920.0,2011300000000.0,2.52090682245314,1.68
Europe,Italy,2022,171299109336.0,2010430000000.0,8.520520950045512,1.29
Europe,Norway,2014,11354809135.999989,501736000000.0,2.2631043289698143,1.10
Europe,Norway,2015,15487198974.0,388160000000.0,3.9899008073990094,1.75
Europe,Norway,2016,13962100330.0,370957000000.0,3.763805597414256,1.55
Europe,Norway,2017,12615619624.999989,401745000000.0,3.1402057586279826,1.40
Europe,Norway,2018,12765832800.0,439789000000.0,2.9027176214048103,1.54
Europe,Norway,2019,12739992337.999989,408743000000.0,3.1168710749786515,1.68
Europe,Norway,2022,16169740554.0,579267000000.0,2.791414072267193,1.29
Europe,Poland,2014,19492044000.0,539081000000.0,3.615791318929809,1.10
Europe,Poland,2015,21116904000.0,477111000000.0,4.425993951093142,1.75
Europe,Poland,2016,21708213000.0,470025000000.0,4.618523057284187,1.55
Europe,Poland,2017,20645990424.0,524641000000.0,3.9352605732300754,1.40
Europe,Poland,2018,19984656912.0,588780000000.0,3.3942486008356263,1.54
Europe,Poland,2019,20824317291.999985,596058000000.0,3.493672980146225,1.68
Europe,Poland,2022,30035815842.0,688177000000.0,4.364548051155444,1.29
Europe,Portugal,2014,12780502999.999996,229902000000.0,5.559109098659428,1.10
Europe,Portugal,2015,13867304000.0,199394000000.0,6.954724816193066,1.75
Europe,Portugal,2016,8666755926.0,206426000000.0,4.198480775677482,1.55
Europe,Portugal,2017,8292942311.999999,221358000000.0,3.746393765755021,1.40
Europe,Portugal,2018,12322045260.0,242313000000.0,5.085177130405715,1.54
Europe,Portugal,2019,10835930556.0,239987000000.0,4.515215639180456,1.68
Europe,Portugal,2022,14593718440.0,251945000000.0,5.792422330270496,1.29
Europe,Romania,2014,4168528000.0,199714000000.0,2.087248765735001,1.10
Europe,Romania,2015,4071426000.0,177884000000.0,2.288809561287131,1.75
Europe,Romania,2016,4007070000.000001,185288000000.0,2.1626171149777647,1.55
Europe,Romania,2017,3908856720.0,210147000000.0,1.8600583020457109,1.40
Europe,Romania,2018,2936880052.0,243316000000.0,1.2070229873908829,1.54
Europe,Romania,2019,4564955636.0,251018000000.0,1.8185770088200848,1.68
Europe,Romania,2022,7991679872.0,301262000000.0,2.6527341224581926,1.29
Europe,Spain,2014,53893686000.0,1371820000000.0,3.928626641979269,1.10
Europe,Spain,2015,59874795000.0,1196160000000.0,5.00558411918138,1.75
Europe,Spain,2016,38131539000.0,1233550000000.0,3.0912033561671595,1.55
Europe,Spain,2017,47089522000.0,1313250000000.0,3.585724119550733,1.40
