Continental Region,Year,Poverty Index,Weather Anomaly
Asia,2018,2.6574671294747407,0.65
Asia,2019,1.95365279990312,0.66
Asia,2022,1.9353102351069476,0.57
Asia,2014,0.2227214046603103,0.55
Asia,2015,0.3319065063445749,0.56
Asia,2016,0.4071988739557245,0.67
Asia,2017,0.3446813270581947,0.72
Asia,2018,0.3409999855284293,0.65
Asia,2019,0.3087736430921009,0.66
Asia,2022,1.0588037364947605,0.57
Asia,2014,6.377436358580869,0.55
Asia,2015,6.7557020789434405,0.56
Asia,2016,6.836544455693681,0.67
Asia,2017,5.92307957469078,0.72
Asia,2018,4.942307595829299,0.65
Asia,2019,5.215295466868213,0.66
Asia,2022,1.9453213600789947,0.57
Asia,2014,2.258226781423573,0.55
Asia,2015,2.835632367614461,0.56
Asia,2016,4.138310810810811,0.67
Asia,2017,3.930039573703313,0.72
Asia,2018,2.8061010460863898,0.65
Asia,2019,2.6616136607180123,0.66
Asia,2022,1.3897992605043,0.57
Asia,2014,2.4758902891407084,0.55
Asia,2015,1.7432067636583235,0.56
Asia,2016,1.2345118013979877,0.67
Asia,2017,1.4460123575113684,0.72
Asia,2018,1.3657260593838725,0.65
Asia,2019,0.7550110525240356,0.66
Asia,2022,2.7983912217297324,0.57
Asia,2014,7.085682441406299,0.55
Asia,2015,7.2432446373749,0.56
Asia,2016,6.711727621526686,0.67
Asia,2017,5.118031250534121,0.72
Asia,2018,4.675650907540937,0.65
Asia,2019,4.865115963174911,0.66
Asia,2022,5.040163231868912,0.57
Asia,2014,2.4904886924813754,0.55
Asia,2015,3.44252533927486,0.56
Asia,2016,3.6556619138535695,0.67
Asia,2017,3.6059100884212474,0.72
Asia,2018,2.997980325442748,0.65
Asia,2019,3.127715088877724,0.66
Asia,2022,2.0951964423443035,0.57
Asia,2014,4.039196507061172,0.55
Asia,2015,3.7424231892825657,0.56
Asia,2016,3.99536089538878,0.67
Asia,2017,6.06156478929976,0.72
Asia,2018,6.329715367710656,0.65
Asia,2019,5.127482355912942,0.66
Asia,2022,2.0503118516447327,0.57
Asia,2014,6.6117686366732205,0.55
Asia,2015,6.9662155497412765,0.56
Asia,2016,7.209663316426543,0.67
Asia,2017,7.449106819167313,0.72
Asia,2018,7.643264883620439,0.65
Asia,2019,7.740376866930225,0.66
Asia,2022,4.710313089844962,0.57
Europe,2014,3.0096812603896224,1.10
Europe,2015,3.449194352159468,1.75
Europe,2016,2.9670910782816544,1.55
Europe,2017,2.781703519536959,1.40
Europe,2018,2.455690365710226,1.54
Europe,2019,2.6027973411263248,1.68
Europe,2022,7.075608395379224,1.29
Europe,2014,1.319356003784767,1.10
Europe,2015,1.5352912714381524,1.75
Europe,2016,2.317294844402713,1.55
Europe,2017,2.0995014660319584,1.40
Europe,2018,1.832554097202956,1.54
Europe,2019,2.2776778178292,1.68
Europe,2022,4.906198534916187,1.29
Europe,2014,2.155549290186137,1.10
Europe,2015,2.59729790971593,1.75
Europe,2016,2.6462486162331778,1.55
Europe,2017,2.34516990293432,1.40
Europe,2018,2.0766698702238657,1.54
Europe,2019,2.1956236367434143,1.68
Europe,2022,3.334611641698797,1.29
Europe,2014,3.940489728959731,1.10
Europe,2015,4.484756923865034,1.75
Europe,2016,4.067223828119372,1.55
Europe,2017,4.865694460625599,1.40
Europe,2018,4.227576664888638,1.54
Europe,2019,3.341649233713026,1.68
Europe,2022,6.693139735621374,1.29
Europe,2014,3.433225331982738,1.10
Europe,2015,3.85099093997735,1.75
Europe,2016,3.400509517492688,1.55
Europe,2017,3.108362933530429,1.40
Europe,2018,2.7995436372153946,1.54
Europe,2019,2.52090682245314,1.68
Europe,2022,8.520520950045512,1.29
Europe,2014,2.2631043289698143,1.10
Europe,2015,3.9899008073990094,1.75
Europe,2016,3.763805597414256,1.55
Europe,2017,3.1402057586279826,1.40
Europe,2018,2.9027176214048103,1.54
Europe,2019,3.1168710749786515,1.68
Europe,2022,2.791414072267193,1.29
Europe,2014,3.615791318929809,1.10
Europe,2015,4.425993951093142,1.75
Europe,2016,4.618523057284187,1.55
Europe,2017,3.9352605732300754,1.40
Europe,2018,3.3942486008356263,1.54
Europe,2019,3.493672980146225,1.68
Europe,2022,4.364548051155444,1.29
Europe,2014,5.559109098659428,1.10
Europe,2015,6.954724816193066,1.75
Europe,2016,4.198480775677482,1.55
Europe,2017,3.746393765755021,1.40
Europe,2018,5.085177130405715,1.54
Europe,2019,4.515215639180456,1.68
Europe,2022,5.792422330270496,1.29
Europe,2014,2.087248765735001,1.10
Europe,2015,2.288809561287131,1.75
Europe,2016,2.1626171149777647,1.55
Europe,2017,1.8600583020457109,1.40
Europe,2018,1.2070229873908829,1.54
Europe,2019,1.8185770088200848,1.68
Europe,2022,2.6527341224581926,1.29
Europe,2014,3.928626641979269,1.10
Europe,2015,5.00558411918138,1.75
Europe,2016,3.0912033561671595,1.55
Europe,2017,3.585724119550733,1.40
Europe,2018,4.287171133150454,1.54
Europe,2019,4.515670721211774,1.68
Europe,2022,6.154892415796668,1.29
Europe,2014,2.9860549793457998,1.10
Europe,2015,3.403967301783395,1.75
Europe,2016,3.07314774413125,1.55
Europe,2017,2.6838854088303736,1.40
Europe,2018,2.4213695078809265,1.54
Europe,2019,2.505015359256762,1.68
Europe,2022,7.538666653013368,1.29
Europe,2014,1.5152436040479964,1.10
Europe,2015,1.644249333869418,1.75
Europe,2016,1.776655764059178,1.55
Europe,2017,1.830486994846264,1.40
Europe,2018,1.8300048629849035,1.54
Europe,2019,1.8740540145464215,1.68
